Feature,Importance
StockOptionLevel,0.07152594973715351
MonthlyIncome,0.05953235721241801
JobSatisfaction,0.0555961431771892
Department_Research & Development,0.04747700819770375
JobInvolvement,0.044820431825533344
YearsWithCurrManager,0.04112238947555958
RelationshipSatisfaction,0.039483035050687065
JobLevel,0.039041774341202484
EnvironmentSatisfaction,0.03591012048568677
MaritalStatus_Married,0.034702749660302665
TotalWorkingYears,0.033985988600827875
YearsAtCompany,0.03301556442829455
MonthlyRate,0.03172639047969775
Age,0.030427970361923205
DailyRate,0.030021571397930356
YearsInCurrentRole,0.029601119252325957
DistanceFromHome,0.028956362202218332
EducationField_Medical,0.027337052121846093
HourlyRate,0.025865472691493502
WorkLifeBalance,0.024913847474119805
Education,0.019671488841486066
TrainingTimesLastYear,0.019010464198573745
BusinessTravel_Travel_Rarely,0.019004810448217363
PercentSalaryHike,0.018885800399664657
EducationField_Life Sciences,0.01850694594990714
YearsSinceLastPromotion,0.017919249460105903
Department_Sales,0.015616253329656304
NumCompaniesWorked,0.014975828433481305
JobRole_Research Scientist,0.013373978224745302
OverTime_Yes,0.010020514127787773
MaritalStatus_Single,0.008819381637738275
Gender_Male,0.00843835209425558
JobRole_Manufacturing Director,0.00699033156818395
JobRole_Laboratory Technician,0.006630885831716286
JobRole_Sales Executive,0.00608402742208458
EducationField_Technical Degree,0.0045504802511068
PerformanceRating,0.004332812136205397
JobRole_Human Resources,0.004213422561407461
EducationField_Marketing,0.004204814957620769
BusinessTravel_Travel_Frequently,0.003667248475224067
JobRole_Manager,0.0031375099533742542
EducationField_Other,0.003122782931956581
JobRole_Research Director,0.001910097328717552
JobRole_Sales Representative,0.0018492212626690626
